"","sex","age","(Intercept)","year.centre","start.value","end.value","sex.long","Estimate","Std. Error","t value","Pr(>|t|)","sig.test.10","sig.test.5","grad.uci","grad.lci","diff","diff.uci","diff.lci","start.value.2","end.value.2"
"1",1,0,1.13387749460354,-0.00424271622067404,1.13387749460354,1.00235329176264,"Men",-0.00424271622067404,0.000833996079313659,-5.08721362834896,1.82108783736743e-05,1,1,-0.00260808390521927,-0.00587734853612882,-13.1524202840895,-8.08506010617975,-18.2197804619993,13.4,0.200000000000003
"6",1,5,1.39246090170708,-0.00858549817202778,1.39246090170708,1.12631045837422,"Men",-0.00858549817202778,0.00175148962727008,-4.9018264443903,3.07353674323569e-05,1,1,-0.00515257850257843,-0.0120184178414771,-26.6150443332861,-15.9729933579931,-37.2570953085791,39.2,12.6
"2",1,15,1.37070132862365,-0.00792777198462448,1.37070132862365,1.12494039710029,"Men",-0.00792777198462448,0.00154856928479838,-5.11941704026286,1.66275498264294e-05,1,1,-0.00489257618641966,-0.0109629677828293,-24.5760931523359,-15.166986177901,-33.9852001267708,37.1,12.5
"3",1,25,1.1460654572469,-0.00236368992438467,1.1460654572469,1.07279106959098,"Men",-0.00236368992438467,0.00116791735652252,-2.02385032740893,0.0519714540632625,1,0,-7.45719056005328e-05,-0.00465280794316882,-7.32743876559249,-0.231172907361652,-14.4237046238233,14.6,7.3
"4",1,35,1.01168520638103,-0.000211554407719478,1.01168520638103,1.00512701974173,"Men",-0.000211554407719478,0.000929697375931585,-0.227551903658429,0.821538321139343,0,0,0.00161065244910643,-0.00203376126454538,-0.655818663930382,4.99302259222993,-6.30465992009069,1.2,0.5
"5",1,45,1.08829284152544,-0.00130214347517715,1.08829284152544,1.04792639379495,"Men",-0.00130214347517715,0.000549842032220541,-2.36821377572471,0.0245151706136986,1,1,-0.000224453092024895,-0.00237983385832941,-4.03664477304918,-0.695804585277176,-7.37748496082118,8.8,4.8
"7",1,55,1.13588719716813,-0.000718933279154714,1.13588719716813,1.11360026551434,"Men",-0.000718933279154714,0.000706798108987983,-1.01716921708252,0.317206423545156,0,0,0.000666391014461732,-0.00210425757277116,-2.22869316537961,2.06581214483137,-6.5231984755906,13.6,11.4
"8",1,65,1.17045968490333,-0.000599380213093584,1.17045968490333,1.15187889829743,"Men",-0.000599380213093584,0.000715266534075942,-0.837981625783636,0.408667995219899,0,0,0.000802542193695262,-0.00200130261988243,-1.85807866059011,2.48788080045531,-6.20403812163553,17,15.2
"9",1,75,1.24896395437203,-0.000682619814648384,1.24896395437203,1.22780274011793,"Men",-0.000682619814648384,0.00133435389035855,-0.511573293697192,0.612694811370292,0,0,0.00193271381045437,-0.00329795343975114,-2.11612142540999,5.99141281240855,-10.2236556632285,24.9,22.8
"10",1,85,1.35006988073334,-0.00199581710201036,1.35006988073334,1.28819955057102,"Men",-0.00199581710201036,0.00201299262495758,-0.991467667226264,0.329387221267189,0,0,0.00194964844290649,-0.00594128264692721,-6.18703301623212,6.04391017301011,-18.4179762054743,35,28.8
"11",2,0,1.09191088795754,-0.00161466001478256,1.09191088795754,1.04185642749928,"Women",-0.00161466001478256,0.00115611986126691,-1.39661990843507,0.172775636194078,0,0,0.00065133491330059,-0.00388065494286571,-5.00544604582593,2.01913823123183,-12.0300303228837,9.2,4.2
"16",2,5,1.0946343276094,-0.00108019006873441,1.0946343276094,1.06114843547863,"Women",-0.00108019006873441,0.00212395194442359,-0.508575569033204,0.614769654308872,0,0,0.00308275574233583,-0.00524313587980465,-3.34858921307667,9.55654280124108,-16.2537212273944,9.5,6.09999999999999
"12",2,15,1.13778011718803,-0.00404732068178975,1.13778011718803,1.01231317605255,"Women",-0.00404732068178975,0.00115729123127281,-3.49723610826846,0.00148768295782285,1,1,-0.00177902986849503,-0.00631561149508447,-12.5466941135482,-5.5149925923346,-19.5783956347618,13.8,1.2
"13",2,25,1.02904445009164,-0.000407518504483652,1.02904445009164,1.01641137645265,"Women",-0.000407518504483652,0.000763947244459139,-0.53343801871053,0.597660743455006,0,0,0.00108981809465626,-0.00190485510362356,-1.26330736389932,3.3784360934344,-5.90505082123305,2.90000000000001,1.59999999999999
"14",2,35,1.0561858404251,-7.69451443576964e-05,1.0561858404251,1.05380054095001,"Women",-7.69451443576964e-05,0.000713803990989903,-0.107795901016172,0.914875311292877,0,0,0.00132211067798251,-0.00147600096669791,-0.238529947508859,4.09854310174579,-4.57560299676351,5.59999999999999,5.40000000000001
